key,scope,table,field,ordinal,comment,filtering,description,title,ordering,json_field_type,vocabulary_scope_ref,visibility,data_type,display_type,display_options,edit_type,is_restricted,value_template
well_id,fields.screenresult,,,0,,TRUE,"The HTS well id","Well ID",TRUE,,,,string,link,"{ 'hrefTemplate': '#library/{short_name}/well/{well_id}' }",,,
plate_number,fields.screenresult,well,,1,,TRUE,"Plate Number",Plate,TRUE,,,[l;d],integer,link,"{ 'hrefTemplate': '#library/{short_name}/plate/{plate_number}' }",,,
well_name,fields.screenresult,well,,2,,TRUE,"Well Name",Well,TRUE,,,[l;d],string,link,"{ 'hrefTemplate': '#library/{short_name}/well/{well_id}' }",,,
short_name,fields.screenresult,library,short_name,3,,TRUE,Library,Library,TRUE,,,[l;d],string,link,"{ 'hrefTemplate': '#library/{short_name}' }",,,
library_well_type,fields.screenresult,well,,4,,TRUE,"Library well type","Library Well Type",TRUE,,library.well_type,[l;d],string,,,select,,
vendor_name,fields.screenresult,reagent,,5,,TRUE,"The vendor of the reagent of this well.","Reagent Vendor",TRUE,,,[l;d],string,,,,,
vendor_identifier,fields.screenresult,reagent,,6,,TRUE,"The vendor-assigned identifier for the reagent in this well.","Vendor Reagent ID",TRUE,,,[l;d],string,,,,,
assay_well_control_type,fields.screenresult,assay_well,,20,,TRUE,"The type of assay well control","Assay Well Control Type",TRUE,,assaywell.control_type,[l;d],string,,,select,,
screen_facility_id,fields.screenresult,screen,facility_id,21,,TRUE,"The facility-assigned ID of the cherry pick request's screen","Screen ID",TRUE,,,[d],string,link,"{ 'hrefTemplate': '#screen/{screen_facility_id}' }",,,
is_positive,fields.screenresult,assay_well,,22,,TRUE,"Is the Assay Well flagged as positive","Assay Well Positive",TRUE,,,[d],boolean,,,,,
confirmed_positive_value,fields.screenresult,assay_well,,23,,TRUE,"Confirmed positive indicator","Confirmed Positive",TRUE,,assaywell.confirmed_positive_indicator,[d],string,,,,,
resource_uri,fields.screenresult,custom,,24,,TRUE,"Resource URI","Resource URI",TRUE,,,,string,,,,,/screenresult/{screen_facility_id}/{well_id}
exclude,fields.screenresult,custom,,25,,TRUE,"Excluded Cols",Excluded,TRUE,,,[d],list,,,select,,
